app_question_number,question,answer_numeric_list
2.2,"Device identifiers for app features (SIM selection, message delivery):","[0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, -1.0, 1.0, -2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, -2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, -1.0, -1.0, 2.0, 2.0, 0.0, -1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, -2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0]"
3.1,Precise location for app features:,"[0.0, 0.0, -1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 2.0, -1.0, 0.0, 1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 0.0, 2.0, 2.0, 2.0, 1.0, 2.0, -1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 1.0, 0.0, -2.0, 2.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 1.0, 2.0, -2.0, 1.0, 0.0, 0.0, 1.0, 0.0, -2.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, -2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 1.0, 2.0, -2.0, 2.0, -1.0, 1.0, 2.0, 2.0, -2.0, 1.0, 2.0, 2.0, -1.0, 0.0, 2.0, 2.0, -1.0, 1.0, 0.0, -1.0, 1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, -2.0, -2.0, 2.0, 0.0, 1.0, 1.0, 1.0, -1.0, -2.0]"
3.2,Precise location for advertising related services:,"[-2.0, 2.0, -1.0, 2.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -2.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, -2.0, -2.0, 1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, -1.0, -2.0, 2.0, 1.0, -2.0, 1.0, 0.0, -1.0, 1.0, -1.0, 1.0, -2.0, 2.0, 0.0, -1.0, -2.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, -2.0, 0.0, 2.0, 0.0, -1.0, 1.0, -1.0, 1.0, -2.0, 0.0, 2.0, -1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, -1.0, -2.0, 2.0, 2.0, -2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, -1.0, -2.0, 1.0, 1.0, 0.0, -2.0, -2.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, -2.0, 2.0, 0.0, 1.0, -2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, -2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, -2.0, -2.0, 1.0, -2.0, 2.0, -1.0, 2.0, 1.0, 2.0, -2.0, -1.0, 2.0, -1.0, -1.0, -2.0, 2.0, 1.0, 0.0, 1.0, 2.0, -1.0, -1.0, 0.0, -1.0, 2.0, -1.0, 2.0, -2.0, 1.0, 1.0, 2.0, 0.0, -2.0, -2.0, 2.0, 0.0, 1.0, -1.0, 1.0, 0.0, -2.0]"
3.3,Camera for app features:,"[1.0, 2.0, -1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, -2.0, -1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, -1.0, -2.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, -2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, -1.0, 1.0, 0.0, -1.0, 0.0, -2.0, 1.0, 2.0, -2.0, 0.0, 1.0, 1.0, 2.0, -2.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -2.0, -1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, -2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, -2.0, 0.0, -1.0, 1.0, 1.0, -1.0]"
3.4,Camera for advertising related services:,"[-2.0, 2.0, -1.0, 2.0, -1.0, 0.0, 1.0, 0.0, 1.0, -2.0, -2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -2.0, -1.0, 0.0, 1.0, 1.0, -1.0, -2.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, -2.0, 1.0, 0.0, 0.0, 0.0, 0.0, -2.0, -1.0, 1.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, -2.0, 2.0, 1.0, -2.0, 2.0, 1.0, -1.0, 2.0, -1.0, 0.0, -2.0, -1.0, 0.0, -1.0, 0.0, 2.0, 1.0, 1.0, -1.0, 1.0, 0.0, -1.0, 1.0, 0.0, 0.0, -1.0, -1.0, 1.0, 2.0, -1.0, 0.0, 1.0, -2.0, 0.0, -2.0, 2.0, -1.0, 1.0, 0.0, 0.0, -2.0, 0.0, 2.0, -2.0, -1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 0.0, -2.0, 2.0, 0.0, -2.0, 2.0, -1.0, 0.0, 1.0, 0.0, 1.0, -1.0, -2.0, 1.0, 0.0, 1.0, 0.0, -2.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, -1.0, 2.0, -1.0, 0.0, -2.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 1.0, -1.0, 1.0, 0.0, -1.0, -1.0, -2.0, 2.0, -2.0, 2.0, 1.0, 2.0, 2.0, 2.0, -2.0, 2.0, 2.0, 2.0, -1.0, -1.0, 2.0, 1.0, -1.0, 2.0, 1.0, -1.0, -1.0, 2.0, -1.0, 1.0, 0.0, 2.0, -2.0, 1.0, 1.0, 2.0, -1.0, -2.0, -2.0, 2.0, -2.0, 0.0, -2.0, 1.0, -1.0, -1.0]"
3.5,Contacts for app features:,"[0.0, 0.0, -1.0, 2.0, 0.0, -1.0, 1.0, 1.0, 0.0, -2.0, 0.0, -1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 2.0, -2.0, 1.0, -1.0, 1.0, -1.0, 2.0, -1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, -2.0, 2.0, 0.0, -2.0, 1.0, 2.0, 0.0, 2.0, -2.0, 2.0, -1.0, 1.0, 1.0, -1.0, 0.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, -2.0, -1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, -2.0, 0.0, -2.0, -1.0, 1.0, 0.0, -1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0, 2.0, -2.0, 0.0, 1.0, -1.0, 0.0, -2.0, -1.0, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, -2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, -1.0, 2.0, 1.0, 1.0, 0.0, 1.0, -1.0, 0.0, 2.0, -1.0, -1.0, 0.0, 1.0, 2.0, 1.0, -1.0, 2.0, 2.0, 1.0, -2.0, -2.0, -1.0, 2.0, -2.0, 0.0, 0.0, 2.0, 0.0, 1.0, -2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, -1.0, 0.0, 2.0, 0.0, -2.0, -2.0, 2.0, -2.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
3.6,Read and modify calendars for app features:,"[1.0, 2.0, -1.0, 2.0, 1.0, 0.0, 2.0, -1.0, 2.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, -1.0, 2.0, 1.0, 1.0, 1.0, -1.0, 0.0, -1.0, -2.0, 0.0, 1.0, 1.0, 0.0, 2.0, -2.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 2.0, 2.0, 0.0, -2.0, 2.0, 1.0, -2.0, 2.0, 2.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, -1.0, 1.0, -1.0, 1.0, 0.0, -2.0, 1.0, 2.0, 2.0, 1.0, 1.0, -1.0, 1.0, -2.0, 1.0, -1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, -2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, -2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, -1.0, 1.0, 1.0, -2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, -2.0, -2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, -1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 2.0, -1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, -1.0, 1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 0.0, 2.0, -1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, -1.0, -1.0]"
3.7,Microphone for app features:,"[1.0, 2.0, -1.0, 2.0, 1.0, -1.0, 2.0, 2.0, 2.0, 1.0, -1.0, -1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, -2.0, 0.0, 2.0, -2.0, 1.0, 1.0, 1.0, -2.0, 2.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, -1.0, 0.0, 2.0, 2.0, 0.0, -1.0, 2.0, 0.0, 0.0, 2.0, -1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -1.0, 0.0, 1.0, 2.0, 2.0, -1.0, 1.0, -1.0, 2.0, -2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, -2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, -1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, -2.0, 2.0, 2.0, 2.0, -1.0, 0.0, 2.0, 2.0, 0.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, -1.0, 0.0, 2.0, 1.0, -2.0, 0.0, 1.0, 1.0, -1.0, 1.0]"
3.8,Microphone for advertising related services:,"[-2.0, 2.0, -1.0, 2.0, -1.0, -1.0, 1.0, 2.0, 1.0, -2.0, -1.0, -1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 2.0, 1.0, -1.0, 2.0, 0.0, 1.0, 2.0, -1.0, 1.0, 2.0, -2.0, 1.0, 0.0, 1.0, 0.0, 1.0, -2.0, 0.0, 2.0, -2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, -2.0, 2.0, 1.0, -2.0, 2.0, 2.0, -1.0, 2.0, -1.0, 2.0, -2.0, 1.0, 0.0, -1.0, 1.0, 0.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 0.0, -1.0, 1.0, 2.0, 2.0, -1.0, 1.0, -2.0, -1.0, -2.0, 0.0, -2.0, 1.0, 1.0, 0.0, -2.0, -2.0, 2.0, -2.0, 0.0, 2.0, 1.0, 1.0, -1.0, 2.0, -1.0, -2.0, 2.0, 0.0, -2.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, -2.0, 1.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 2.0, 1.0, 1.0, -1.0, -1.0, 2.0, -1.0, 0.0, -2.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, -2.0, 1.0, 1.0, 1.0, 2.0, -1.0, 0.0, 0.0, -2.0, 1.0, -2.0, 2.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 2.0, -1.0, -2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 2.0, -2.0, 2.0, -1.0, 1.0, 1.0, 2.0, -2.0, 1.0, 1.0, 2.0, -1.0, -2.0, -1.0, 2.0, -2.0, 0.0, -2.0, 1.0, -1.0, 0.0]"
3.9,"Accounts for app features (authentication, account management):","[0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 1.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, -2.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, -2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0, -2.0, 2.0, 1.0, 1.0, 2.0, -1.0, 0.0, 2.0, -2.0, 1.0, 1.0, -1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 2.0, 2.0, 1.0, -1.0, 2.0, 2.0, -2.0, 1.0, 2.0, -2.0, 0.0, 1.0, 0.0, -1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, -1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, -2.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, 0.0, 2.0, -1.0, 1.0, 2.0, -1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 0.0, 0.0, 2.0, -2.0, 2.0, -2.0, 2.0, 1.0, 1.0, -2.0, 2.0, 2.0, -2.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 1.0, -1.0, 2.0]"
3.1,Accounts for analytics related uses:,"[0.0, 2.0, -1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 0.0, 1.0, -2.0, 2.0, -1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 0.0, 1.0, 2.0, -1.0, 1.0, 1.0, -2.0, 1.0, 1.0, -1.0, 0.0, 2.0, -1.0, 0.0, 2.0, -2.0, 2.0, 1.0, 2.0, 1.0, -1.0, 2.0, 1.0, -1.0, -1.0, 1.0, -2.0, 2.0, 0.0, -1.0, 1.0, -1.0, -1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 2.0, 2.0, 1.0, -2.0, -1.0, 2.0, -2.0, 1.0, 1.0, -2.0, 0.0, 1.0, -2.0, 1.0, 2.0, -2.0, 1.0, 0.0, 1.0, 1.0, -1.0, -1.0, 1.0, -2.0, 2.0, 1.0, 0.0, 2.0, -2.0, 1.0, 1.0, 0.0, 1.0, 0.0, -1.0, -1.0, 1.0, 1.0, 0.0, 1.0, -1.0, -1.0, 2.0, -1.0, 1.0, 0.0, 0.0, 2.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 0.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, -2.0, 2.0, 0.0, 2.0, -2.0, 1.0, 0.0, 1.0, -2.0, 2.0, 2.0, 1.0, 0.0, -1.0, 0.0, 1.0, 1.0, 1.0, -2.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 2.0, 1.0, -1.0, 2.0, 2.0, -1.0, -2.0, -2.0, 2.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
